Index Date,Price
968,70.795448
969,69.71991
970,69.765045
971,70.171188
972,70.37429
973,70.945847
974,71.163986
975,70.509628
976,70.148628
977,69.43412
978,69.268661
979,69.674789
980,69.795166
981,69.629684
982,70.171188
983,69.885376
984,69.501823
985,69.471733
986,68.892609
987,69.291206
988,69.456703
989,69.501823
990,68.824928
991,69.118248
992,68.727158
993,68.178131
994,67.583984
995,67.147736
996,67.32074
997,67.31321
998,68.080338
999,68.215714
1000,68.471451
1001,68.140511
1002,68.200668
1003,68.727158
1004,68.020195
1005,67.929932
1006,67.365868
1007,66.937141
1008,66.515991
1009,65.884186
1010,64.831253
1011,64.492821
1012,63.605339
1013,62.905865
1014,57.686295
1015,57.648678
1016,56.768723
1017,54.158924
1018,55.678185
1019,55.813538
1020,56.114407
1021,56.731121
1022,57.949509
1023,57.092125
1024,57.445587
1025,57.5434
1026,57.51329
1027,57.972118
1028,56.783787
1029,56.753601
1030,56.542431
1031,55.275558
1032,55.260479
1033,54.762779
1034,55.169987
1035,56.059811
1036,56.022125
1037,57.583107
1038,58.186375
1039,57.620838
1040,57.696213
1041,57.168346
1042,57.311623
1043,58.171318
1044,58.141129
1045,56.972321
1046,57.945065
1047,58.329681
1048,57.153259
1049,56.557549
1050,56.587704
1051,56.406719
1052,56.504753
1053,56.384094
1054,56.595234
1055,56.47459
1056,57.537872
1057,58.103455
1058,57.60574
1059,57.726383
1060,57.620838
1061,58.239182
1062,56.866718
1063,55.810978
1064,55.712959
1065,56.783787
1066,56.353924
1067,55.954243
1068,56.308659
1069,56.399174
1070,57.168346
1071,58.352272
1072,59.800167
1073,59.543785
1074,60.358212
1075,61.421474
1076,62.152939
1077,62.122787
1078,61.692974
1079,63.118217
1080,63.796936
1081,63.646061
1082,63.676258
1083,63.49527
1084,63.434914
1085,63.246418
1086,63.193611
1087,62.937237
1088,62.914589
1089,62.824066
1090,63.38969
1091,62.680843
1092,62.861809
1093,63.013
1094,63.118816
1095,62.000072
1096,62.483852
1097,62.128593
1098,62.362904
1099,61.455818
1100,61.455818
1101,61.342426
1102,62.559422
1103,62.438499
1104,62.007633
1105,61.47094
1106,61.304626
1107,60.760353
1108,61.486027
1109,60.881317
1110,60.941772
1111,60.12542
1112,60.064945
1113,61.244148
1114,61.21394
1115,61.077858
1116,61.561638
1117,61.591881
1118,61.040035
1119,60.835968
1120,60.480682
1121,60.72258
1122,60.042252
1123,59.490414
1124,58.628696
1125,59.120045
1126,58.961273
1127,58.515305
1128,58.953743
1129,60.095173
1130,60.745243
1131,60.639446
1132,60.813286
1133,60.556278
1134,60.337074
1135,60.246368
1136,60.851067
1137,61.418003
1138,62.884491
1139,62.128593
1140,62.136135
1141,62.249523
1142,62.430935
1143,63.103691
1144,63.625286
1145,62.869389
1146,62.990326
1147,63.096157
1148,63.013
1149,62.657696
1150,62.219269
1151,61.546524
1152,61.894226
1153,61.675011
1154,61.274387
1155,62.64259
1156,62.740856
1157,63.201981
1158,63.004959
1159,62.770058
1160,63.641468
1161,64.065781
1162,63.921818
1163,64.808372
1164,65.573616
1165,65.83886
1166,66.505638
1167,66.141945
1168,66.672356
1169,67.286125
1170,67.286125
1171,67.521004
1172,67.513435
1173,67.3619
1174,67.596786
1175,67.17247
1176,67.005753
1177,67.543739
1178,67.225494
1179,66.301064
1180,65.899475
1181,65.134171
1182,63.429287
1183,62.989796
1184,63.292873
1185,63.171661
1186,62.70945
1187,62.497295
1188,62.982246
1189,63.057987
1190,63.255024
1191,62.883736
1192,62.921616
1193,62.436646
1194,62.285095
1195,62.179058
1196,62.095669
1197,62.512428
1198,64.368858
1199,63.444454
1200,63.702087
1201,63.777821
1202,63.323212
1203,63.020107
1204,62.891289
1205,63.497482
1206,62.959503
1207,61.648647
1208,61.68652
1209,61.262207
1210,61.307674
1211,61.163696
1212,61.390991
1213,61.853226
1214,61.603153
1215,62.08812
1216,61.550114
1217,60.595398
1218,60.246845
1219,60.504448
1220,61.378048
1221,61.074169
1222,61.78067
1223,61.104584
1224,61.598316
1225,61.416039
1226,61.46159
1227,61.309658
1228,61.150158
1229,61.795818
1230,60.922253
1231,60.846272
1232,61.248936
1233,60.952671
1234,60.694374
1235,60.724777
1236,60.739956
1237,60.770321
1238,60.990623
1239,61.636314
1240,61.545177
1241,61.962952
1242,62.236408
1243,62.958065
1244,63.337887
1245,62.950493
1246,63.277096
1247,63.489815
1248,63.664516
1249,64.150681
1250,63.201141
1251,63.322685
1252,63.110035
1253,62.616222
1254,63.148003
1255,63.201141
1256,62.646637
1257,63.094833
1258,63.391064
1259,63.937988
1260,63.664516
1261,62.654232
1262,62.365551
1263,61.65152
1264,61.340061
1265,62.274403
1266,62.016151
1267,63.284698
1268,62.18325
1269,62.304768
1270,62.031315
1271,62.373138
1272,62.798546
1273,63.315083
1274,63.717712
1275,62.547871
1276,62.464317
1277,62.608639
1278,62.821327
1279,62.616222
1280,63.261913
1281,63.193314
1282,63.452518
1283,63.200912
1284,62.865475
1285,62.812138
1286,63.193314
1287,62.636757
1288,61.958241
1289,61.493214
1290,61.203514
1291,61.005287
1292,60.860424
1293,60.822319
1294,61.09679
1295,61.561825
1296,61.112026
1297,60.913803
1298,61.516083
1299,60.624107
1300,60.273411
1301,60.807072
1302,60.342026
1303,58.725773
1304,59.183197
1305,58.718147
1306,58.649559
1307,59.244205
1308,59.892242
1309,59.427166
1310,59.213696
1311,59.457649
1312,59.693985
1313,58.847767
1314,58.779152
1315,58.817268
1316,58.420841
1317,58.367466
1318,59.15271
1319,58.565681
1320,59.480534
1321,59.289955
1322,59.533905
1323,58.260742
1324,58.451328
1325,58.298859
1326,57.544106
1327,56.598759
1328,56.087975
1329,56.187073
1330,56.61401
1331,57.993919
1332,57.544106
1333,57.071404
1334,57.932915
1335,57.856705
1336,57.810928
1337,58.054886
1338,58.672428
1339,59.015491
1340,58.047268
1341,58.184509
1342,58.192123
1343,57.871956
1344,57.574596
1345,57.658806
1346,57.704723
1347,57.972614
1348,57.773613
1349,58.692112
1350,58.998283
1351,60.536774
1352,60.75108
